Rep,Treatment,Time,FIL,Weight (g)
5/10_1,5,3,0,0.341
5/10_1,5,4,0,0.389
5/1_2,5,1,0,0.039
5/1_2,5,2,0,0.139
5/1_2,5,3,0,0.285
5/1_2,5,4,0,0.312
5/2_2,5,1,0,0.032
5/2_2,5,2,0,0.14
5/2_2,5,3,0,0.285
5/2_2,5,4,0,0.344
5/3_2,5,1,0,0.042
5/3_2,5,2,0,0.147
5/3_2,5,3,0,0.286
5/3_2,5,4,0,0.355
5/4_2,5,1,0,0.033
5/4_2,5,2,0,0.13
5/4_2,5,3,0,0.263
5/4_2,5,4,0,0.328
5/5_2,5,1,0,0.032
5/5_2,5,2,0,0.147
5/5_2,5,3,0,0.283
5/5_2,5,4,0,0.374
5/6_2,5,1,0,0.044
5/6_2,5,2,0,0.157
5/6_2,5,3,0,0.321
5/6_2,5,4,0,0.35
5/7_2,5,1,0,0.04
5/7_2,5,2,0,0.15
5/7_2,5,3,0,0.283
5/7_2,5,4,0,0.363
5/8_2,5,1,0,0.031
5/8_2,5,2,0,0.126
5/8_2,5,3,0,0.254
5/8_2,5,4,0,0.323
5/9_2,5,1,0,0.035
5/9_2,5,2,0,0.137
5/9_2,5,3,0,0.281
5/9_2,5,4,0,0.334
5/10_2,5,1,1,0.04
5/1_3,5,1,0,0.0321
5/1_3,5,2,0,0.0883
5/1_3,5,3,0,0.252
5/2_3,5,1,0,0.0268
5/2_3,5,2,0,0.0822
5/2_3,5,3,0,0.2688
5/2_3,5,4,0,0.33
5/3_3,5,1,0,0.0355
5/3_3,5,2,0,0.0113
5/3_3,5,3,0,0.2961
5/4_3,5,1,0,0.0323
5/4_3,5,2,0,0.0859
5/4_3,5,3,0,0.2789
5/4_3,5,4,0,0.309
5/5_3,5,1,0,0.027
5/5_3,5,2,0,0.0805
5/5_3,5,3,0,0.2562
5/5_3,5,4,0,0.297
5/6_3,5,1,0,0.0364
5/6_3,5,2,0,0.1037
5/6_3,5,3,0,0.2855
5/7_3,5,1,0,0.0296
5/7_3,5,2,0,0.1049
5/7_3,5,3,0,0.296
5/8_3,5,1,0,0.0287
5/8_3,5,2,0,0.0947
5/8_3,5,3,0,0.281
5/9_3,5,1,0,0.0258
5/9_3,5,2,0,0.0746
5/9_3,5,3,0,0.2788
5/9_3,5,4,0,0.298
5/10_3,5,1,0,0.0253
5/10_3,5,2,0,0.0856
5/10_3,5,3,0,0.287
5/10_3,5,4,0,0.287
5/1_4,5,1,1,0.0158
5/1_4,5,2,1,0.0365
5/2_4,5,1,0,0.0227
5/2_4,5,2,0,0.0362
5/2_4,5,3,0,0.1831
5/2_4,5,4,0,0.2843
5/3_4,5,1,0,0.0216
5/3_4,5,2,0,0.0344
5/3_4,5,3,0,0.1638
5/3_4,5,4,0,0.277
5/4_4,5,1,0,0.02
5/4_4,5,2,0,0.0362
5/4_4,5,3,0,0.1731
5/4_4,5,4,0,0.267
5/5_4,5,1,0,0.0224
5/5_4,5,2,0,0.0477
5/5_4,5,3,0,0.1876
5/5_4,5,4,0,0.256
5/6_4,5,1,0,0.0203
5/6_4,5,2,0,0.0371
5/6_4,5,3,0,0.1736
5/6_4,5,4,0,0.294
5/7_4,5,1,0,0.0189
5/7_4,5,2,0,0.041
5/7_4,5,3,0,0.1763
5/7_4,5,4,0,0.277
5/8_4,5,1,0,0.0242
5/8_4,5,2,0,0.0463
5/8_4,5,3,0,0.1975
5/8_4,5,4,0,0.287
5/9_4,5,1,0,0.0221
5/9_4,5,2,0,0.0398
5/9_4,5,3,0,0.1834
5/9_4,5,4,0,0.289
5/10_4,5,1,0,0.0185
5/10_4,5,2,0,0.0324
5/10_4,5,3,0,0.1583
5/10_4,5,4,0,0.32
15/1_1,15,1,0,0.025
15/1_1,15,2,0,0.12
15/1_1,15,3,0,0.287
15/1_1,15,4,0,0.361
15/2_1,15,1,0,0.018
15/2_1,15,2,0,0.12
15/2_1,15,3,0,0.293
15/2_1,15,4,0,0.364
15/3_1,15,1,0,0.029
15/3_1,15,2,0,0.186
15/3_1,15,3,0,0.339
15/3_1,15,4,0,0.373
15/4_1,15,1,1,0.026
15/5_1,15,1,0,0.029
15/5_1,15,2,0,0.195
15/5_1,15,3,0,0.339
15/5_1,15,4,0,0.392
15/6_1,15,1,0,0.025
15/6_1,15,2,0,0.134
15/6_1,15,3,0,0.332
15/6_1,15,4,0,0.372
15/7_1,15,1,0,0.03
15/8_1,15,1,0,0.024
15/8_1,15,2,0,0.149
15/8_1,15,3,0,0.32
15/8_1,15,4,0,0.388
15/9_1,15,1,0,0.032
15/9_1,15,2,0,0.184
15/9_1,15,3,0,0.301
15/9_1,15,4,0,0.358
15/10_1,15,1,0,0.02
15/10_1,15,2,0,0.13
15/10_1,15,3,0,0.305
15/10_1,15,4,0,0.381
15/1_2,15,1,1,0.037
15/2_2,15,1,0,0.033
15/2_2,15,2,0,0.122
15/2_2,15,3,0,0.27
15/2_2,15,4,0,0.334
15/3_2,15,1,0,0.034
15/3_2,15,2,0,0.139
15/3_2,15,3,0,0.297
15/3_2,15,4,0,0.344
15/4_2,15,1,0,0.031
15/4_2,15,2,0,0.125
15/4_2,15,3,0,0.243
15/4_2,15,4,0,0.298
15/5_2,15,1,0,0.033
15/5_2,15,2,0,0.141
15/5_2,15,3,0,0.271
15/5_2,15,4,0,0.321
15/6_2,15,1,0,0.035
15/6_2,15,2,0,0.131
15/6_2,15,3,0,0.273
15/6_2,15,4,0,0.321
15/7_2,15,1,0,0.037
15/7_2,15,2,0,0.144
15/7_2,15,3,0,0.282
15/7_2,15,4,0,0.31
15/8_2,15,1,0,0.039
15/8_2,15,2,0,0.153
15/8_2,15,3,0,0.278
15/8_2,15,4,0,0.298
15/9_2,15,1,0,0.038
15/9_2,15,2,0,0.161
15/9_2,15,3,0,0.266
15/9_2,15,4,0,0.282
15/10_2,15,1,0,0.033
15/10_2,15,2,0,0.157
15/10_2,15,3,0,0.297
15/10_2,15,4,0,0.319
15/1_3,15,1,0,0.0287
15/1_3,15,2,0,0.0699
15/1_3,15,3,0,0.2675
15/1_3,15,4,0,0.25
15/2_3,15,1,1,0.029
15/3_3,15,1,0,0.0318
15/3_3,15,2,0,0.0875
15/3_3,15,3,0,0.291
15/3_3,15,4,0,0.303
15/4_3,15,1,1,0.0418
15/5_3,15,1,0,0.032
15/5_3,15,2,0,0.1001
15/5_3,15,3,0,0.2773
15/6_3,15,1,0,0.036
15/6_3,15,2,0,0.0681
15/6_3,15,3,0,0.2089
15/6_3,15,4,0,0.348
15/7_3,15,1,0,0.0281
15/7_3,15,2,0,0.0791
15/7_3,15,3,0,0.2447
15/7_3,15,4,0,0.294
15/8_3,15,1,0,0.0313
15/8_3,15,2,0,0.0945
15/8_3,15,3,0,0.2845
15/9_3,15,1,1,0.033
15/10_3,15,1,0,0.0302
15/10_3,15,2,0,0.083
15/10_3,15,3,0,0.2831
15/1_4,15,1,0,0.0201
15/1_4,15,2,0,0.0316
15/1_4,15,3,0,0.1413
15/1_4,15,4,0,0.275
15/2_4,15,1,0,0.0201
15/2_4,15,2,0,0.0345
15/2_4,15,3,0,0.1818
15/2_4,15,4,0,0.318
15/3_4,15,1,0,0.0194
15/3_4,15,2,0,0.0362
15/3_4,15,3,0,0.1638
15/3_4,15,4,0,0.277
15/4_4,15,1,0,0.0228
15/4_4,15,2,0,0.0185
15/4_4,15,3,0,0.182
15/5_4,15,1,1,0.018
15/5_4,15,2,1,0.0293
15/5_4,15,3,1,0.1416
15/6_4,15,1,0,0.0196
15/6_4,15,2,0,0.0319
15/6_4,15,3,0,0.1776
15/6_4,15,4,0,0.316
15/7_4,15,1,0,0.0196
15/8_4,15,1,1,0.0255
15/8_4,15,2,1,0.0406
15/8_4,15,3,1,0.2178
15/8_4,15,4,1,0.307
15/9_4,15,1,0,0.0219
15/9_4,15,2,0,0.0395
15/9_4,15,3,0,0.1866
15/9_4,15,4,0,0.282
15/10_4,15,1,0,0.0159
15/10_4,15,2,0,0.0315
15/10_4,15,3,0,0.1698
15/10_4,15,4,0,0.266
50/1_1,50,1,0,0.025
50/1_1,50,2,0,0.11
50/1_1,50,3,0,0.289
50/1_1,50,4,0,0.37
50/2_1,50,1,0,0.023
50/3_1,50,1,0,0.031
50/3_1,50,2,0,0.182
50/3_1,50,3,0,0.307
50/3_1,50,4,0,0.36
50/4_1,50,1,0,0.027
50/4_1,50,2,0,0.157
50/4_1,50,3,0,0.329
50/4_1,50,4,0,0.398
50/5_1,50,1,1,0.027
50/5_1,50,2,1,0.179
50/5_1,50,3,1,0.31
50/5_1,50,4,1,0.348
50/6_1,50,1,0,0.028
50/6_1,50,2,0,0.125
50/6_1,50,3,0,0.301
50/6_1,50,4,0,0.362
50/7_1,50,1,0,0.024
50/7_1,50,2,0,0.166
50/7_1,50,3,0,0.316
50/7_1,50,4,0,0.369
50/8_1,50,1,0,0.027
50/8_1,50,2,0,0.172
50/8_1,50,3,0,0.332
50/8_1,50,4,0,0.4
50/9_1,50,1,0,0.034
50/9_1,50,2,0,0.19
50/9_1,50,3,0,0.307
50/9_1,50,4,0,0.399
50/10_1,50,1,0,0.022
50/10_1,50,2,0,0.142
50/10_1,50,3,0,0.304
50/10_1,50,4,0,0.376
